ModuleID,ModuleName,ChineseName,Category,SubCategory,Description,BlendPolicy,Priority,ActiveStates,InputParams,OutputParams,LagSpeed,IsCore
P01,FollowTarget,目标跟随,Position,Follow,基础跟随角色位置加上焦点偏移,Override,100,All,CharacterLocation/FocusOffset/SocketName,PositionOverride,0,true
P02,FollowTarget_Lagged,惯性跟随,Position,Follow,带惯性的目标跟随使用指数衰减插值,Override,100,Explore/Sprint/Combat,CharacterLocation/PositionLagSpeed/VerticalLagSpeed,PositionOverride,8. 0,true
P03,FollowTarget_Predictive,预测性跟随,Position,Follow,基于角色速度预测未来位置,Additive,90,Sprint/Mount,CharacterVelocity/PredictionTime,PositionOffset,0,false
P04,Orbit_LockOn,锁定轨道,Position,Orbit,锁定时围绕玩家-目标中点的轨道位置,Override,110,LockOn/LockOn_Multi,PlayerLocation/TargetLocation/OrbitRadius,PositionOverride,0,true
P05,Orbit_Boss,Boss轨道,Position,Orbit,Boss战时的特殊轨道计算考虑Boss体型,Override,120,Boss_Medium/Boss_Large/Boss_Huge,PlayerLocation/BossLocation/BossSize,PositionOverride,0,true
P06,FixedPoint,固定点跟随,Position,Cinematic,跟随场景中的固定点用于过场,Override,200,Cinematic/BossIntro,FixedPointLocation,PositionOverride,0,false
P07,Spline_Follow,样条跟随,Position,Cinematic,沿预设样条曲线移动,Override,200,Cinematic/AreaReveal,SplineComponent/SplineProgress,PositionOverride,0,false
P08,MidPoint_TwoTarget,双目标中点,Position,Special,计算玩家与目标之间的加权中点,Override,105,Execution/Dialogue,PlayerLocation/TargetLocation/MidPointWeight,PositionOverride,0,false
R01,PlayerInput_Free,玩家自由输入,Rotation,Input,直接响应玩家的视角输入无自动校正,Override,100,Explore/Combat,PlayerYawInput/PlayerPitchInput/Sensitivity,RotationOverride,0,true
R02,PlayerInput_Lagged,惯性输入响应,Rotation,Input,带惯性的玩家输入响应,Override,100,Explore,PlayerInput/RotationLagSpeed,RotationOverride,12.0,true
R03,LookAt_Target,看向目标,Rotation,LookAt,计算看向锁定目标的旋转,Override,110,LockOn/LockOn_Multi,TargetLocation/CameraLocation,RotationOverride,0,true
R04,LookAt_Target_Soft,软锁定看向,Rotation,LookAt,看向目标但允许玩家微调,Override,110,LockOn,TargetLocation/PlayerInput/SoftLockStrength,RotationOverride,10.0,true
R05,LookAt_Boss,Boss看向,Rotation,LookAt,看向Boss时的特殊处理考虑体型,Override,120,Boss_Medium/Boss_Large/Boss_Huge,BossLocation/BossSize/LookAtOffset,RotationOverride,8.0,true
R06,AutoOrient_Movement,移动方向自动朝向,Rotation,AutoOrient,相机自动朝向角色移动方向,Additive,50,Sprint/Mount,CharacterVelocity/AutoOrientSpeed,RotationOffset,2.0,false
R07,AutoOrient_Delayed,延迟自动回中,Rotation,AutoOrient,长时间无输入后自动回到角色背后,Additive,40,Explore,TimeSinceLastInput/AutoCorrectDelay/AutoCorrectSpeed,RotationOffset,2.0,false
R08,LookAt_Point,看向固定点,Rotation,Cinematic,过场时看向场景中的指定点,Override,200,Cinematic/AreaReveal,LookAtPoint,RotationOverride,0,false
R09,Spline_Rotation,样条旋转,Rotation,Cinematic,沿样条曲线的切线方向旋转,Override,200,Cinematic,SplineComponent/SplineProgress,RotationOverride,0,false
D01,BaseDistance,基础距离,Distance,Base,根据当前状态返回基础距离值,Override,100,All,CurrentState/StateDistanceConfig,DistanceOverride,0,true
D02,TargetSize_Multiplier,目标体型系数,Distance,Dynamic,根据锁定目标的体型调整距离,Multiplicative,90,LockOn/Boss_All,TargetSize/SizeCurve,DistanceMultiplier,4.0,true
D03,Speed_Offset,速度距离偏移,Distance,Dynamic,高速移动时拉远相机,Additive,80,Sprint/Mount,CharacterSpeed/SpeedDistanceCurve,DistanceOffset,5.0,false
D04,Combat_Adjust,战斗距离调整,Distance,Dynamic,进入战斗时调整距离,Multiplicative,85,Combat/LockOn,bInCombat/CombatDistanceMultiplier,DistanceMultiplier,6.0,false
D05,Environment_Limit,环境距离限制,Distance,Constraint,狭小空间时限制最大距离,Minimum,200,All,EnvironmentDistanceLimit,DistanceOverride,0,true
D06,Proximity_Adjust,接近距离调整,Distance,Dynamic,与目标过近时自动拉远保证构图,Additive,95,LockOn,DistanceToTarget/MinFramingDistance,DistanceOffset,8.0,false
D07,Boss_Phase,Boss阶段距离,Distance,Special,Boss战阶段转换时的距离变化,Additive,110,Boss_Phase,BossPhase/PhaseTransitionZoomOut,DistanceOffset,3.0,false
F01,BaseFOV,基础FOV,FOV,Base,根据当前状态返回基础FOV值,Override,100,All,CurrentState/StateFOVConfig,FOVOverride,0,true
F02,Speed_FOV,速度FOV,FOV,Dynamic,根据移动速度增加FOV强调速度感,Additive,80,Sprint/Mount,CharacterSpeed/SpeedThreshold/FOVPerSpeed/MaxFOVOffset,FOVOffset,5.0,true
F03,Aim_FOV,瞄准FOV,FOV,Special,瞄准时缩小FOV增强精确感,Override,110,Aim,AimFOV,FOVOverride,0,false
F04,Combat_FOV,战斗FOV,FOV,Dynamic,战斗状态的FOV调整,Additive,85,Combat/LockOn,CombatFOVOffset,FOVOffset,6.0,false
F05,Boss_FOV,Boss战FOV,FOV,Special,Boss战时的广角处理,Additive,90,Boss_Medium/Boss_Large/Boss_Huge,BossSize/BossFOVOffset,FOVOffset,4.0,false
F06,Impact_FOV,冲击FOV,FOV,Effect,攻击命中或受击时的FOV脉冲,Additive,120,Combat/LockOn/Boss_All,ImpactIntensity/FOVPunchScale,FOVOffset,10.0,false
O01,SocketOffset_Base,基础Socket偏移,Offset,Screen,屏幕空间偏移让焦点稳定在屏幕固定位置,Override,100,All,CurrentState/StateSocketOffset,SocketOffsetOverride,0,true
O02,SocketOffset_Shoulder,过肩偏移,Offset,Screen,过肩视角的左右偏移,Override,110,Aim/Combat,ShoulderSide/ShoulderOffset,SocketOffsetOverride,8.0,false
O03,SocketOffset_Switch,肩膀切换,Offset,Screen,左右肩过肩视角的切换过渡,Blend,110,Aim,CurrentShoulder/TargetShoulder/SwitchProgress,SocketOffsetOverride,0,false
O04,TargetOffset_Crouch,蹲伏偏移,Offset,World,蹲伏时的三维空间焦点下移,Additive,100,Explore_Crouch/Stealth,CrouchOffset,TargetOffsetOffset,6.0,false
O05,TargetOffset_Mount,骑乘偏移,Offset,World,骑乘时的三维空间焦点调整,Override,100,Mount,MountFocusOffset,TargetOffsetOverride,4.0,false
C01,Pitch_Clamp,俯仰角限制,Constraint,Rotation,限制相机俯仰角在配置范围内,Override,300,All,CurrentPitch/MinPitch/MaxPitch,PitchOverride,0,true
C02,Distance_Clamp,距离限制,Constraint,Distance,限制相机距离在全局最小最大值内,Override,300,All,CurrentDistance/GlobalMinDistance/GlobalMaxDistance,DistanceOverride,0,true
C03,FOV_Clamp,FOV限制,Constraint,FOV,限制FOV在全局最小最大值内,Override,300,All,CurrentFOV/GlobalMinFOV/GlobalMaxFOV,FOVOverride,0,true
C04,Visibility_Ensure,可见性保证,Constraint,Visibility,确保玩家和目标在屏幕中可见,Additive,250,LockOn/Boss_All,PlayerScreenPos/TargetScreenPos,RotationOffset/DistanceOffset,0,true