StrategyID,StrategyName,ChineseName,Category,Type,Description,Priority,IsCore,InputParams,OutputParams,Condition
D01,SingleRay,单射线检测,Detection,Trace,从FocusPoint到DesiredPos的单条射线检测,100,false,FocusPoint/DesiredPos,bHit/HitPoint/HitNormal,默认关闭仅用于简单场景
D02,SphereSweep,球扫检测,Detection,Sweep,沿路径移动球体进行检测考虑相机体积,100,true,FocusPoint/DesiredPos/ProbeRadius,bHit/HitPoint/HitNormal,默认启用推荐方法
D03,MultiRay,多射线检测,Detection,Trace,从FocusPoint发射多条射线圆锥分布,90,false,FocusPoint/DesiredPos/RayCount/SpreadAngle,bHit/HitPoint/HitNormal,复杂场景或Boss战启用
D04,MultiSphereSweep,多球扫检测,Detection,Sweep,多条路径的球扫检测最高精度,80,false,FocusPoint/DesiredPos/ProbeRadius/PathCount,bHit/HitPoint/HitNormal,关键过场或高精度需求
RS01,PullIn,拉近响应,Response,Position,将相机拉近到碰撞点前方,100,true,HitPoint/HitNormal/MinDistanceFromSurface,SafePosition,检测到碰撞时
RS02,Slide,滑动响应,Response,Position,沿碰撞表面滑动尽量保持期望距离,90,false,DesiredDir/HitNormal,SlidePosition,垂直表面碰撞时
RS03,Orbit,轨道调整,Response,Position,保持距离绕FocusPoint旋转到无碰撞位置,85,false,FocusPoint/Distance/SearchDirections,OrbitPosition,锁定状态需要保持距离时
RS04,FOVCompensate,FOV补偿,Response,FOV,拉近时增加FOV保持视野范围,80,false,DesiredDist/ActualDist/BaseFOV/MaxFOV,CompensatedFOV,相机被拉近时
RS05,InstantSnap,即时跳转,Response,Position,直接跳转到安全位置无平滑过渡,200,true,SafePosition,FinalPosition,碰撞距离小于MinSafeDistance时
OC01,FadeOut,渐隐处理,Occlusion,Material,将遮挡物材质渐变为透明,100,true,OccludingActor/FadeSpeed/MinAlpha,MaterialAlpha,遮挡物支持透明化
OC02,Hide,隐藏处理,Occlusion,Visibility,直接隐藏遮挡物,90,false,OccludingActor,bHidden,遮挡物标记为可隐藏
OC03,PullInFurther,进一步拉近,Occlusion,Position,将相机拉到遮挡物前方,80,true,OccludingActorBounds/CurrentPos,NewPosition,遮挡物不支持透明化
OC04,DitherFade,抖动渐隐,Occlusion,Material,使用抖动透明而非真透明,85,false,OccludingActor/DitherAmount,MaterialDither,性能敏感或大量遮挡物
RC01,DelayedRecovery,延迟恢复,Recovery,Timing,碰撞解除后等待一段时间再开始恢复,100,true,RecoveryDelay/TimeSinceCollision,bCanRecover,碰撞刚解除时
RC02,SmoothRecovery,平滑恢复,Recovery,Interpolation,使用指数衰减插值恢复到理想距离,100,true,CurrentDist/DesiredDist/RecoverySpeed,RecoveredDistance,延迟时间结束后
RC03,StepRecovery,分段恢复,Recovery,Interpolation,分多个阶段恢复每阶段速度不同,90,false,RecoveryProgress/StepSpeeds,RecoveredDistance,需要更自然的恢复曲线
SP01,TightSpace,狭小空间处理,Special,Environment,检测并处理狭小空间自动调整距离和FOV,100,true,EnvironmentProbes/TightSpaceThreshold,AdjustedDistance/AdjustedFOV,检测到狭小空间
SP02,LowCeiling,低天花板处理,Special,Environment,检测低天花板并压低相机高度,95,true,CeilingHeight/LowCeilingThreshold,AdjustedHeight/AdjustedPitchMax,天花板低于阈值
SP03,CliffEdge,悬崖边缘处理,Special,Environment,防止相机悬空在悬崖外,90,false,GroundDetection/CliffDetectionDistance,SafePosition,相机下方无地面
SP04,CornerCase,墙角情况处理,Special,Environment,处理相机被困在墙角的极端情况,85,true,MultiDirectionProbes/CornerDetection,FallbackPosition/FallbackFOV,检测到墙角困境